;CPC Symbol;Classification Title
132;G21;NUCLEAR PHYSICS NUCLEAR ENGINEERING
133;G99;SUBJECT MATTER NOT OTHERWISE PROVIDED FOR IN THIS SECTION
134;H;ELECTRICITY
135;H01;ELECTRIC ELEMENTS
136;H02;GENERATION CONVERSION OR DISTRIBUTION OF ELECTRIC POWER
137;H03;ELECTRONIC CIRCUITRY
138;H04;ELECTRIC COMMUNICATION TECHNIQUE
139;H05;ELECTRIC TECHNIQUES NOT OTHERWISE PROVIDED FOR
140;H10;SEMICONDUCTOR DEVICES ELECTRIC SOLID-STATE DEVICES NOT OTHERWISE PROVIDED FOR
141;H99;SUBJECT MATTER NOT OTHERWISE PROVIDED FOR IN THIS SECTION
142;Y;GENERAL TAGGING OF NEW TECHNOLOGICAL DEVELOPMENTS GENERAL TAGGING OF CROSS-SECTIONAL TECHNOLOGIES SPANNING OVER SEVERAL SECTIONS OF THE IPC TECHNICAL SUBJECTS COVERED BY FORMER USPC CROSS-REFERENCE ART COLLECTIONS [XRACs] AND DIGESTS
143;Y02;TECHNOLOGIES OR APPLICATIONS FOR MITIGATION OR ADAPTATION AGAINST CLIMATE CHANGE
144;Y04;INFORMATION OR COMMUNICATION TECHNOLOGIES HAVING AN IMPACT ON OTHER TECHNOLOGY AREAS
145;Y10;TECHNICAL SUBJECTS COVERED BY FORMER USPC
